radius_m,t0_s,method,recovered,recovered_snr,offset_ms,chi2_reduced,n_local_candidates
50,1765924505.1135538,highpass,True,6.285341203654623,-1.9769668579101562,1.8176881573371642,3
50,1765924505.1135538,dc_fft_swap,False,,,,3
50,1765924505.1135538,dc_detrend,False,,,,34
50,1765924505.1135538,dc_despike,False,,,,14
50,1765924505.1135538,highpass_despike,False,,,,1
50,1765924609.420293,raw,True,7.269909892351955,5.721330642700195,1.5269578644125512,33
50,1765924609.420293,highpass,False,,,,2
50,1765924609.420293,dc_fft_swap,False,,,,4
50,1765924609.420293,dc_detrend,True,15.649754800389719,7.294178009033203,1.318422576590659,32
50,1765924609.420293,dc_despike,True,7.726336839806044,5.721330642700195,1.7247107601162068,26
50,1765924609.420293,highpass_despike,False,,,,1
50,1765924539.7020805,raw,True,13.15964290919764,-0.07867813110351562,0.49985086539080525,23
50,1765924539.7020805,highpass,True,5.84559498465263,0.4456043243408203,0.5662901687929908,2
50,1765924539.7020805,dc_fft_swap,True,43.406642246267815,211.73381805419922,0.43280393387206084,2
50,1765924539.7020805,dc_detrend,True,11.38659823764664,0.4456043243408203,0.41369919972007,31
50,1765924539.7020805,dc_despike,True,13.985845122370838,-0.07867813110351562,0.564585432306336,30
50,1765924539.7020805,highpass_despike,True,6.0927703850288415,0.4456043243408203,0.6151927396560836,3
50,1765924737.2020674,raw,True,9.429776820082594,3.418445587158203,0.3464402333292622,26
50,1765924737.2020674,highpass,True,7.170604023885326,2.894163131713867,0.5280568896181012,1
50,1765924737.2020674,dc_fft_swap,False,,,,4
50,1765924737.2020674,dc_detrend,True,8.866873953901514,3.418445587158203,0.3063138005450699,24
50,1765924737.2020674,dc_despike,True,10.021806750699957,3.418445587158203,0.3913069326179611,26
50,1765924737.2020674,highpass_despike,True,7.473806165873692,2.894163131713867,0.5736577862738461,1
50,1765924467.0633247,raw,True,11.11847720773538,8.011817932128906,0.8271061715791015,23
50,1765924467.0633247,highpass,False,,,,2
50,1765924467.0633247,dc_fft_swap,False,,,,4
50,1765924467.0633247,dc_detrend,True,10.454768743875029,8.011817932128906,0.7313066165438301,19
50,1765924467.0633247,dc_despike,True,11.816528860012832,8.011817932128906,0.9342228408049794,24
50,1765924467.0633247,highpass_despike,False,,,,2
50,1765924697.3403356,raw,True,11.83677930795109,-11.14654541015625,0.4109815379847502,32
50,1765924697.3403356,highpass,False,,,,1
50,1765924697.3403356,dc_fft_swap,False,,,,3
50,1765924697.3403356,dc_detrend,True,11.130192383793132,-11.14654541015625,0.36337960993785595,34
50,1765924697.3403356,dc_despike,True,12.579928140221963,-11.14654541015625,0.4642068371965877,32
50,1765924697.3403356,highpass_despike,False,,,,1
50,1765924620.0625935,raw,True,5.732455289163782,-5.067110061645508,1.0772197740352514,31
50,1765924620.0625935,highpass,True,7.383421014951996,-1.9211769104003906,1.5067080850214258,4
50,1765924620.0625935,dc_fft_swap,False,,,,4
50,1765924620.0625935,dc_detrend,True,5.390261027932414,-5.067110061645508,0.9524508162232812,36
50,1765924620.0625935,dc_despike,True,6.092356183094064,-5.067110061645508,1.2167280961634868,35
50,1765924620.0625935,highpass_despike,True,7.695621920130737,-1.9211769104003906,1.6368214137673636,3
100,1765924457.765908,raw,True,34.687423087780374,-0.1590251922607422,0.8805999052508519,25
100,1765924457.765908,highpass,True,28.475054957578397,-0.6833076477050781,1.1106079526176333,3
100,1765924457.765908,dc_fft_swap,False,,,,4
100,1765924457.765908,dc_detrend,True,32.616785547879836,-0.1590251922607422,0.7786044396311576,19
100,1765924457.765908,dc_despike,True,36.8652045004028,-0.1590251922607422,0.994644428206118,26
100,1765924457.765908,highpass_despike,True,29.67909545787869,-0.6833076477050781,1.2065156464060662,3
100,1765924751.3316693,raw,True,40.56052073040507,-1.340627670288086,0.46232319943011296,20
100,1765924751.3316693,highpass,True,27.13117819481821,-0.81634521484375,0.5065075723990732,1
100,1765924751.3316693,dc_fft_swap,False,,,,4
100,1765924751.3316693,dc_detrend,True,38.13929339824621,-1.340627670288086,0.4087746245194364,20
100,1765924751.3316693,dc_despike,True,43.10703298960141,-1.340627670288086,0.522197642313615,21
100,1765924751.3316693,highpass_despike,True,28.278394149838917,-0.81634521484375,0.5502475555683614,1
100,1765924728.1571846,raw,True,31.427610715381686,-1.4340877532958984,0.392927117340131,28
100,1765924728.1571846,highpass,True,26.294303330885075,-0.9098052978515625,0.6037202034870226,2
100,1765924728.1571846,dc_fft_swap,False,,,,4
100,1765924728.1571846,dc_detrend,True,29.551302012284758,-1.4340877532958984,0.347291683212495,28
100,1765924728.1571846,dc_despike,True,33.40073124053256,-1.4340877532958984,0.4438142289398965,28
100,1765924728.1571846,highpass_despike,True,27.406132831643976,-0.9098052978515625,0.6558550835528946,2
100,1765924651.7813983,raw,True,39.92572436606664,-0.25343894958496094,1.4535343702897243,30
100,1765924651.7813983,highpass,True,26.113553324619886,-0.25343894958496094,1.9316957167066062,3
100,1765924651.7813983,dc_fft_swap,False,,,,3
100,1765924651.7813983,dc_detrend,True,31.088105342366045,-0.25343894958496094,1.3061623917562517,30
100,1765924651.7813983,dc_despike,True,42.432382188121366,-0.25343894958496094,1.6417783535905777,32
100,1765924651.7813983,highpass_despike,False,,,,3
